random,quadrant,troi
2267.2308755961135,24926.86381752813,79698.1769345683
2189.4324760760214,19855.684086736645,70017.19662928533
1276.7099164984338,14252.948756062136,19522.683058908733
1728.2091921648505,28068.401189421496,51008.78678501422
6749.830763015315,25898.555202219344,88699.98566491781
7761.552362547056,33475.2993489427,39509.14437161922
838.1036877426495,14075.672925443363,56740.021445578124
687.4248699266251,13863.851851987247,33035.91211429832
10167.98099460418,24094.72039023636,32665.860286449173
1299.2855945950637,14943.555693555185,45781.00370547698
2748.739576273348,25599.45861974719,38815.96971626395
843.8477365813914,8403.451943174572,17779.569069876386
2053.9170475565375,12916.683877658592,12916.683877658592
1481.0842077241682,17305.687927504376,18714.00666434724
514.8409220078358,28024.741902066868,33541.06238196945
1563.2514039421503,18159.766146329697,20415.05169115263
694.0931641205158,17625.846307465665,30347.035187372257
1189.3080269721477,13203.626185452033,20956.260888259316
945.7757448857124,33195.07547917852,34868.99104387274
1963.4220067581653,21961.80667374652,25332.344191178647
795.6074496058616,59822.75110873293,63786.754361577325
1346.1346722075782,22313.610402003964,20477.76354955659
5729.890759956953,12647.21209835102,23861.372379718698
623.3417579495709,19459.19046639212,24875.082775377028
4518.587144000789,23843.19411956112,25193.282911921087
1131.593585020839,37341.64649505784,41881.04086128012
1156.2378016289842,20872.684461667766,49435.863477668216
2716.1683493124747,33709.11823215843,39709.2799186066
1416.907266692195,21782.034880754523,38478.79504528101
1626.9975583397165,13986.378046596763,23952.117134841603
